month,day,hour,kw
4,1,0,1.0972339912688287
4,1,1,1.095808576244292
4,1,2,1.0319919962354487
4,1,3,0.8880862208945909
4,1,4,0.2926689554135808
4,1,5,0.2786410554351492
4,1,6,0.20385493216822176
4,1,7,0.24417097591386805
4,1,8,0.5294892388941084
4,1,9,0.5167818706721805
4,1,10,0.23456405649246403
4,1,11,0.21377925092585584
4,1,12,0.2383158326316655
4,1,13,0.25490707336809654
4,1,14,1.0788036773195275
4,1,15,0.5553822411020075
4,1,16,0.5073215995520439
4,1,17,0.5778066410730885
4,1,18,0.5406059045678003
4,1,19,0.564255864167976
4,1,20,0.5017780082922672
4,1,21,1.2785094476810581
4,1,22,0.9932978267946242
4,1,23,0.9346124699026307
4,2,0,0.82643596808141
4,2,1,1.046505834101914
4,2,2,0.9593565857629613
4,2,3,0.9781022167049791
4,2,4,0.212587145295108
4,2,5,0.2062518418948543
4,2,6,0.23578352063606692
4,2,7,0.2895662449597183
4,2,8,0.50052581768756
4,2,9,0.5120403251064698
4,2,10,0.29158742458361886
4,2,11,0.23542088261157332
4,2,12,0.22467447293106618
4,2,13,0.20541561031843977
4,2,14,0.8994652450608459
4,2,15,0.5402347596243708
4,2,16,0.5353337310249576
4,2,17,0.5649486090115471
4,2,18,0.53320104157582
4,2,19,0.5547057579222838
4,2,20,0.5931770825157763
4,2,21,1.221426899365772
4,2,22,0.9886977217569836
4,2,23,1.1834092193705024
4,3,0,1.0175288864663075
4,3,1,0.8529282866339744
4,3,2,1.0573555749524992
4,3,3,0.8940760843411049
4,3,4,0.2118802888436787
4,3,5,0.2478399155124208
4,3,6,0.2566484564187231
4,3,7,0.2588077658613205
4,3,8,0.5698697204957758
4,3,9,0.519078639357693
4,3,10,0.29992438463178117
4,3,11,0.24550909878608929
4,3,12,0.24242977624148196
4,3,13,0.20807970379389926
4,3,14,1.0097739902288945
4,3,15,0.5178501157601619
4,3,16,0.5472884728838625
4,3,17,0.5167528211079737
4,3,18,0.5136058981928194
4,3,19,0.549074316591765
4,3,20,0.5081425976951126
4,3,21,1.0068066175663053
4,3,22,1.2860408621692585
4,3,23,0.9675176001523162
4,4,0,0.9099317290289648
4,4,1,0.9651961955352648
4,4,2,0.806938745290915
4,4,3,0.9510942862428889
4,4,4,0.24551418137169959
4,4,5,0.2094733635123026
4,4,6,0.24215911718696298
4,4,7,0.2686673004914136
4,4,8,0.5526637884579968
4,4,9,0.509797020786369
4,4,10,0.25792500395220036
4,4,11,0.28429957365790776
4,4,12,0.24528033206228197
4,4,13,0.23005988759591864
4,4,14,0.9425047720556833
4,4,15,0.5143111897963651
4,4,16,0.5128071452913043
4,4,17,0.5977453894926658
4,4,18,0.5940697818518719
4,4,19,0.5705293904865533
