month,day,hour,kw
4,1,0,4.260879810345162
4,1,1,3.1823107154132377
4,1,2,3.4067195055770134
4,1,3,3.924032881768714
4,1,4,3.054908083444795
4,1,5,3.15269355393061
4,1,6,3.7778488186131534
4,1,7,7.178698980552257
4,1,8,6.237885531465541
4,1,9,6.8323668123475825
4,1,10,7.87310096602255
4,1,11,7.139857805621846
4,1,12,3.207157142593988
4,1,13,4.142583737562822
4,1,14,6.705243532698315
4,1,15,7.763953358048184
4,1,16,6.941171091372245
4,1,17,7.349127216966131
4,1,18,6.072198768205452
4,1,19,3.1725436549098562
4,1,20,3.596462549926099
4,1,21,4.232564892067163
4,1,22,3.7933056609434614
4,1,23,4.324585401813099
4,2,0,3.3889538111645012
4,2,1,3.4861305588165576
4,2,2,3.6541579738282213
4,2,3,3.9146877634402246
4,2,4,4.319746509170385
4,2,5,4.221417296374218
4,2,6,3.3854885878353516
4,2,7,6.66283863694388
4,2,8,6.079406663828369
4,2,9,6.381827056747211
4,2,10,7.5685361075608
4,2,11,7.114918888065013
4,2,12,3.6299824424791542
4,2,13,4.3590477347937195
4,2,14,6.470393851434306
4,2,15,6.797075866459172
4,2,16,7.274624354253254
4,2,17,6.38575593699958
4,2,18,7.142020923794875
4,2,19,3.909620155023491
4,2,20,3.3636668046095712
4,2,21,3.504342524407105
4,2,22,3.738954024814631
4,2,23,3.615396279946157
4,3,0,4.175534156119921
4,3,1,3.816919022716437
4,3,2,3.327702353391557
4,3,3,3.7538966236471247
4,3,4,3.9243469495967265
4,3,5,4.141996095564522
4,3,6,3.7162640324985716
4,3,7,6.962305992890355
4,3,8,7.922349959954328
4,3,9,7.706800151390438
4,3,10,6.755412061938862
4,3,11,6.224681404153797
4,3,12,3.090064017133471
4,3,13,3.9559940208892517
4,3,14,6.226516826024389
4,3,15,7.050087776255259
4,3,16,6.148594042490113
4,3,17,7.712215552243705
4,3,18,6.271473242501769
4,3,19,3.8416826990664745
4,3,20,4.282842683951194
4,3,21,3.5407502403012483
4,3,22,4.253155480528778
4,3,23,3.276220391447571
4,4,0,4.094174747861592
4,4,1,3.7505652686103526
4,4,2,3.645368709341584
4,4,3,3.9730625134055844
4,4,4,3.1298397721432525
4,4,5,3.1491176663154565
4,4,6,3.3113382841411174
4,4,7,7.409394613276905
4,4,8,7.468425548220077
4,4,9,6.997396240683999
4,4,10,7.215108059209304
4,4,11,7.51660971410102
4,4,12,4.1084327639484215
4,4,13,3.613077653334263
4,4,14,6.4866391763826385
4,4,15,6.281896366434524
4,4,16,6.0787847893709195
4,4,17,7.183137290290596
4,4,18,7.217792250772011
4,4,19,3.695218814016626
4,4,20,3.096625829552183
4,4,21,3.8089215362653843
4,4,22,3.3723701428687227
4,4,23,3.3371616307322385
4,5,0,3.23141581828734
4,5,1,3.1974395142401035
4,5,2,3.4110851394507264
4,5,3,3.568329853248663
4,5,4,4.24657969503752
4,5,5,3.6312745942303075
4,5,6,3.560190823735385
