"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","10","3.7","0","10","0","0"
"1","1","1","0","0","9.8","3.7","0","9.8","0","0"
"1","1","2","0","0","9.4","4.5","0","9.4","0","0"
"1","1","3","0","0","9","4.5","0","9","0","0"
"1","1","4","0","0","8.9","5.2","0","8.9","0","0"
"1","1","5","0","0","8.9","6.7","0","8.9","0","0"
"1","1","6","0","0","9","8.2","0","9","0","0"
"1","1","7","13","16","9.3","9.7","18.74","8.627","98.786","66.368"
"1","1","8","70","69","9.8","10.4","107.807","10.286","573.976","532.022"
"1","1","9","142","113","10.4","11.9","207.753","12.039","1110.405","1056.003"
"1","1","10","204","143","10.9","11.9","308.373","13.745","1646.282","1577.665"
"1","1","11","238","158","11.3","11.9","362.084","14.816","1928.005","1851.201"
"1","1","12","235","157","11.8","11.2","357.627","15.449","1898.556","1822.631"
"1","1","13","194","139","11.8","9.7","294.274","15","1561.3","1495.056"
"1","1","14","129","106","11.5","6.7","189.78","13.817","1004.943","953.129"
"1","1","15","58","60","11","3.7","91.258","11.878","481.531","441.541"
"1","1","16","7","9","10","2.2","10.274","8.549","54.163","22.568"
"1","1","17","0","0","8.7","0.7","0","8.7","0","0"
"1","1","18","0","0","7","0","0","7","0","0"
"1","1","19","0","0","5.9","0","0","5.9","0","0"
"1","1","20","0","0","4.9","0","0","4.9","0","0"
"1","1","21","0","0","4","0","0","4","0","0"
"1","1","22","0","0","4","0.7","0","4","0","0"
"1","1","23","0","0","4.4","1.5","0","4.4","0","0"
"1","2","0","0","0","5.4","2.2","0","5.4","0","0"
"1","2","1","0","0","5.8","2.2","0","5.8","0","0"
"1","2","2","0","0","6.1","1.5","0","6.1","0","0"
"1","2","3","0","0","6.4","0","0","6.4","0","0"
"1","2","4","0","0","6.4","0","0","6.4","0","0"
"1","2","5","0","0","6.3","0.7","0","6.3","0","0"
"1","2","6","0","0","6","1.5","0","6","0","0"
"1","2","7","10","17","7.5","1.5","19.152","5.749","103.309","70.806"
"1","2","8","59","74","9.8","0.7","104.069","10.86","554.406","512.872"
"1","2","9","121","122","13","0","206.456","19.956","1066.758","1013.435"
"1","2","10","177","155","14.7","0","294.368","26.073","1485.952","1421.774"
"1","2","11","208","171","16","0.7","355.475","27.489","1786.142","1713.522"
"1","2","12","205","169","17","2.2","350.053","25.539","1774.974","1702.678"
"1","2","13","169","150","16.9","2.2","281.195","23.633","1435.115","1372.312"
"1","2","14","111","115","16","1.5","190.783","20.715","981.317","930.074"
"1","2","15","49","65","14.4","0","88.956","17.464","459.504","419.975"
"1","2","16","6","11","13.1","0","11.959","10.815","63.137","31.378"
"1","2","17","0","0","11.7","0","0","11.7","0","0"
"1","2","18","0","0","10","0","0","10","0","0"
"1","2","19","0","0","9.2","0","0","9.2","0","0"
"1","2","20","0","0","8.6","0","0","8.6","0","0"
"1","2","21","0","0","8.4","0","0","8.4","0","0"
"1","2","22","0","0","8.6","0.7","0","8.6","0","0"
"1","2","23","0","0","9.1","1.5","0","9.1","0","0"
"1","3","0","0","0","10","2.2","0","10","0","0"
"1","3","1","0","0","10.3","3","0","10.3","0","0"
"1","3","2","0","0","10.5","3","0","10.5","0","0"
"1","3","3","0","0","10.6","3","0","10.6","0","0"
"1","3","4","0","0","11","3.7","0","11","0","0"
"1","3","5","0","0","11.4","5.2","0","11.4","0","0"
"1","3","6","0","0","12","7.4","0","12","0","0"
"1","3","7","9","18","12.6","8.2","20.094","11.899","105.991","73.439"
"1","3","8","51","77","13.2","8.2","104.507","13.743","551.311","509.843"
"1","3","9","109","127","13.8","8.2","205.556","15.898","1083.056","1029.332"
"1","3","10","161","161","14.4","8.9","290.555","17.652","1525.802","1460.536"
"1","3","11","190","178","15.1","8.9","339.822","19.109","1775.897","1703.575"
"1","3","12","187","177","15.8","9.7","335.81","19.572","1751.05","1679.446"
"1","3","13","154","157","15.9","8.2","279.614","19.304","1456.794","1393.407"
"1","3","14","100","120","15.8","5.2","190.809","18.599","992.341","940.832"
"1","3","15","44","69","15.4","0.7","92.004","17.284","477.161","437.263"
"1","3","16","5","12","14.5","0","12.684","12.331","66.966","35.136"
"1","3","17","0","0","13.2","0","0","13.2","0","0"
"1","3","18","0","0","11.6","1.5","0","11.6","0","0"
"1","3","19","0","0","11.4","3","0","11.4","0","0"
"1","3","20","0","0","11.8","4.5","0","11.8","0","0"
"1","3","21","0","0","12.8","6.7","0","12.8","0","0"
"1","3","22","0","0","12.2","6.7","0","12.2","0","0"
"1","3","23","0","0","11.2","5.2","0","11.2","0","0"
"1","4","0","0","0","9.6","3","0","9.6","0","0"
"1","4","1","0","0","9.1","2.2","0","9.1","0","0"
"1","4","2","0","0","8.8","1.5","0","8.8","0","0"
"1","4","3","0","0","8.8","1.5","0","8.8","0","0"
"1","4","4","0","0","8.4","0.7","0","8.4","0","0"
"1","4","5","0","0","8","0.7","0","8","0","0"
"1","4","6","0","0","7.6","0","0","7.6","0","0"
"1","4","7","10","17","8.4","0","19.136","5.184","103.457","70.952"
"1","4","8","58","74","9.8","0","103.511","10.9","551.433","509.963"
"1","4","9","120","122","11.8","0.7","205.729","17.109","1076.956","1023.382"
"1","4","10","176","156","12.4","2.2","294.87","19.031","1538.13","1472.526"
"1","4","11","208","173","12.5","4.5","358.082","19.042","1871.682","1796.555"
"1","4","12","205","171","12.2","6.7","352.834","17.293","1858.813","1784.066"
"1","4","13","170","152","12","6.7","284.628","15.958","1504.992","1440.296"
"1","4","14","112","117","11.6","6.7","193.933","13.976","1028.842","976.447"
"1","4","15","50","67","11","5.2","91.651","11.701","486.092","446.007"
"1","4","16","6","12","10.4","5.2","12.929","9.414","68.84","36.976"
"1","4","17","0","0","9.8","4.5","0","9.8","0","0"
"1","4","18","0","0","9","4.5","0","9","0","0"
"1","4","19","0","0","8.6","4.5","0","8.6","0","0"
"1","4","20","0","0","8.2","5.2","0","8.2","0","0"
"1","4","21","0","0","8","5.9","0","8","0","0"
"1","4","22","0","0","7.4","5.9","0","7.4","0","0"
"1","4","23","0","0","6.8","5.9","0","6.8","0","0"
"1","5","0","0","0","6","5.2","0","6","0","0"
"1","5","1","0","0","5.6","4.5","0","5.6","0","0"
"1","5","2","0","0","5.2","3.7","0","5.2","0","0"
"1","5","3","0","0","5","3","0","5","0","0"
"1","5","4","0","0","4.8","3","0","4.8","0","0"
"1","5","5","0","0","4.7","3","0","4.7","0","0"
"1","5","6","0","0","4.6","3","0","4.6","0","0"
"1","5","7","7","19","4.6","3","20.795","3.243","114.659","81.945"
"1","5","8","43","81","4.8","3.7","106.196","5.567","582.5","540.362"
"1","5","9","93","133","5","3.7","203.516","8.237","1110.9","1056.486"
"1","5","10","140","169","5.5","5.2","285.702","9.907","1554.161","1488.114"
"1","5","11","167","187","6.2","7.4","333.634","10.548","1812.628","1739.237"
"1","5","12","166","186","7","9.7","331.307","10.628","1799.222","1726.221"
"1","5","13","136","166","7.1","9.7","278.492","10.037","1513.699","1448.765"
"1","5","14","87","127","7","8.2","184.756","8.89","1004.758","952.948"
"1","5","15","37","74","6.6","5.2","95.347","7.318","518.92","478.142"
"1","5","16","4","13","6","4.5","13.411","4.906","73.571","41.62"
"1","5","17","0","0","5.1","3.7","0","5.1","0","0"
"1","5","18","0","0","4","3.7","0","4","0","0"
"1","5","19","0","0","3.5","4.5","0","3.5","0","0"
"1","5","20","0","0","3.2","5.9","0","3.2","0","0"
"1","5","21","0","0","3","7.4","0","3","0","0"
"1","5","22","0","0","2.4","7.4","0","2.4","0","0"
"1","5","23","0","0","1.8","6.7","0","1.8","0","0"
"1","6","0","0","0","1","5.9","0","1","0","0"
"1","6","1","0","0","0.8","6.7","0","0.8","0","0"
"1","6","2","0","0","0.9","8.2","0","0.9","0","0"
"1","6","3","0","0","1.2","9.7","0","1.2","0","0"
"1","6","4","0","0","1.2","10.4","0","1.2","0","0"
"1","6","5","0","0","1.1","10.4","0","1.1","0","0"
"1","6","6","0","0","1","9.7","0","1","0","0"
"1","6","7","0","17","0.8","9.7","16.117","0.068","91.905","59.615"
"1","6","8","0","80","0.5","9.7","82.385","0.63","468.675","428.954"
"1","6","9","16","132","0.2","9.7","143.378","1.168","812.083","764.823"
"1","6","10","34","168","0.7","9.7","202.197","2.476","1139.423","1084.297"
"1","6","11","45","186","1.6","10.4","231.324","3.695","1297.308","1238.151"
"1","6","12","45","185","2.8","10.4","230.123","4.904","1283.868","1225.059"
"1","6","13","32","165","3.3","10.4","197.312","4.998","1099.959","1045.816"
"1","6","14","14","127","3.6","10.4","136.845","4.527","764.128","717.965"
"1","6","15","0","73","3.8","10.4","74.842","3.919","419.859","381.15"
"1","6","16","0","12","3.8","9.7","11.365","3.057","63.991","32.216"
"1","6","17","0","0","3.7","8.9","0","3.7","0","0"
"1","6","18","0","0","3.4","7.4","0","3.4","0","0"
"1","6","19","0","0","3.3","6.7","0","3.3","0","0"
"1","6","20","0","0","3.1","6.7","0","3.1","0","0"
"1","6","21","0","0","3","6.7","0","3","0","0"
"1","6","22","0","0","2.8","5.9","0","2.8","0","0"
"1","6","23","0","0","2.6","5.9","0","2.6","0","0"
"1","7","0","0","0","2.4","5.2","0","2.4","0","0"
"1","7","1","0","0","2.2","5.2","0","2.2","0","0"
"1","7","2","0","0","1.9","5.2","0","1.9","0","0"
"1","7","3","0","0","1.6","5.9","0","1.6","0","0"
"1","7","4","0","0","1.2","5.2","0","1.2","0","0"
"1","7","5","0","0","0.8","3.7","0","0.8","0","0"
"1","7","6","0","0","0.4","2.2","0","0.4","0","0"
"1","7","7","7","19","0","3","20.765","-1.411","116.753","84"
"1","7","8","44","81","-0.4","4.5","106.399","0.277","596.698","554.252"
"1","7","9","96","133","-0.8","6.7","205.057","1.476","1152.064","1096.621"
"1","7","10","144","169","-0.4","8.2","288.412","2.892","1617.132","1549.335"
"1","7","11","172","187","0.4","8.9","337.502","4.259","1884.407","1808.903"
"1","7","12","171","187","1.6","9.7","336.481","5.263","1870.556","1795.461"
"1","7","13","141","166","1.8","9.7","282.124","4.755","1569.033","1502.575"
"1","7","14","91","128","1.6","9.7","195.616","3.39","1089.743","1035.854"
"1","7","15","40","75","1.2","8.9","97.407","1.683","542.746","501.461"
"1","7","16","5","15","0.8","8.9","15.635","0.081","87.434","55.227"
"1","7","17","0","0","0.4","8.2","0","0.4","0","0"
"1","7","18","0","0","-0.2","8.2","0","-0.2","0","0"
"1","7","19","0","0","-0.3","7.4","0","-0.3","0","0"
"1","7","20","0","0","-0.2","7.4","0","-0.2","0","0"
"1","7","21","0","0","0","6.7","0","0","0","0"
"1","7","22","0","0","-0.1","6.7","0","-0.1","0","0"
"1","7","23","0","0","-0.3","5.9","0","-0.3","0","0"
"1","8","0","0","0","-0.6","5.9","0","-0.6","0","0"
"1","8","1","0","0","-0.4","5.2","0","-0.4","0","0"
"1","8","2","0","0","0","4.5","0","0","0","0"
"1","8","3","0","0","0.6","3.7","0","0.6","0","0"
"1","8","4","0","0","0.9","4.5","0","0.9","0","0"
"1","8","5","0","0","1.1","5.2","0","1.1","0","0"
"1","8","6","0","0","1.2","6.7","0","1.2","0","0"
"1","8","7","2","20","1.4","7.4","19.738","0.577","111.636","78.978"
"1","8","8","22","87","1.6","7.4","104.998","2.104","588.893","546.616"
