month,day,hour,kw
1,1,0,1.6445112776238568
1,1,1,1.6728825065493675
1,1,2,1.6542963797719812
1,1,3,1.6657732932906466
1,1,4,1.6605821192125814
1,1,5,1.696855527349946
1,1,6,1.6990539586355329
1,1,7,1.6830418110199805
1,1,8,1.673783045001708
1,1,9,1.7245046396576964
1,1,10,1.6786990683829357
1,1,11,1.6265900037185512
1,1,12,1.6709919503338866
1,1,13,1.6189672945850853
1,1,14,1.9587224977351139
1,1,15,1.6737235462251403
1,1,16,1.6544349772182896
1,1,17,1.6447066107045059
1,1,18,1.614075386981315
1,1,19,1.6558231026866745
1,1,20,1.6209575307195199
1,1,21,3.090774635813866
1,1,22,3.1410242277001386
1,1,23,1.6808265942707126
1,2,0,1.655646009311248
1,2,1,1.6842581706408466
1,2,2,1.6689729339080248
1,2,3,1.6795462515011799
1,2,4,1.6321475370200451
1,2,5,1.686410279396794
1,2,6,1.612547237139712
1,2,7,1.6940586524534054
1,2,8,1.7610790873304611
1,2,9,1.70309071198833
1,2,10,1.6810464677920174
1,2,11,1.6867900379336778
1,2,12,1.6659134754446079
1,2,13,1.674956454788715
1,2,14,1.931576164434163
1,2,15,1.6954386818316094
1,2,16,1.6941788268796727
1,2,17,1.6637273293429096
1,2,18,1.61950663100263
1,2,19,1.650352445215111
1,2,20,1.6203396413450686
1,2,21,3.338936244281255
1,2,22,3.3274526699425855
1,2,23,1.6455624038779437
1,3,0,1.6855089357649622
1,3,1,1.657752882887919
1,3,2,1.6419959723210977
1,3,3,1.6939517355153566
1,3,4,1.692073697593925
1,3,5,1.6475104105378215
1,3,6,1.6926398520943764
1,3,7,1.6004032323778625
1,3,8,1.6519896783386325
1,3,9,1.787032338610639
1,3,10,1.6832449330276658
1,3,11,1.6116319961276695
1,3,12,1.60806361074152
1,3,13,1.6629161691825254
1,3,14,1.9762378389567843
1,3,15,1.691818196312758
1,3,16,1.6666909925829807
1,3,17,1.662343494139944
1,3,18,1.6264951610149954
1,3,19,1.6480205899201605
1,3,20,1.625020293035302
1,3,21,3.0687911647019077
1,3,22,3.0815042678903897
1,3,23,1.6506713120698684
1,4,0,1.613709589933135
1,4,1,1.6685394249668515
1,4,2,1.6224806591257956
1,4,3,1.6767791900589648
1,4,4,1.6563471436812018
1,4,5,1.659794262641393
1,4,6,1.6404126326334338
1,4,7,1.625784770072198
1,4,8,1.7559399623243632
1,4,9,1.7821993269606864
1,4,10,1.6044811228147586
1,4,11,1.6427499932508702
1,4,12,1.6350960049109202
1,4,13,1.686470826786618
1,4,14,1.8670073379384609
1,4,15,1.6085360601958607
1,4,16,1.6440084565258524
1,4,17,1.6143207218659967
1,4,18,1.6188073855746594
1,4,19,1.6943463459704478
1,4,20,1.6162449474999487
1,4,21,3.265359888860748
1,4,22,3.361907209127012
1,4,23,1.6746789300635487
1,5,0,1.6018852148608849
1,5,1,1.661583993388093
1,5,2,1.6330256531827245
1,5,3,1.6346143920244143
1,5,4,1.661447191313484
1,5,5,1.6585424903584587
1,5,6,1.6091176155771736
1,5,7,1.6097509748366532
1,5,8,1.7625539261022458
1,5,9,1.735017414914966
1,5,10,1.6627086950282648
1,5,11,1.63409471366714
1,5,12,1.6951511852803907
1,5,13,1.635258148053352
1,5,14,1.8783820588772304
1,5,15,1.648786032261058
1,5,16,1.6902245065548636
1,5,17,1.643685350814144
1,5,18,1.6581072839933926
1,5,19,1.64188590515162
1,5,20,1.6110131299430144
1,5,21,3.354850935528745
1,5,22,3.089803862060071
1,5,23,1.621043843521644
1,6,0,1.65025913255927
1,6,1,1.6237145782211875
1,6,2,1.6198339874062209
1,6,3,1.6496258947972628
1,6,4,1.6955940377127794
1,6,5,1.644190213971945
1,6,6,1.6993859235081579
1,6,7,1.6115558702786974
1,6,8,1.7815882582732316
1,6,9,1.6972343626462962
1,6,10,1.6212626925897355
1,6,11,1.674451863972544
1,6,12,1.6290350466073324
1,6,13,1.6535827712613156
1,6,14,2.041003210752952
1,6,15,1.615953391385869
1,6,16,1.6457137344983193
1,6,17,1.6031085904078717
1,6,18,1.6292678990757448
1,6,19,1.6093261940378545
1,6,20,1.6027369819398425
1,6,21,3.323913006270364
1,6,22,3.192994533728453
1,6,23,1.641639135197154
1,7,0,1.6994171077146636
1,7,1,1.6420452738777191
1,7,2,1.6573898589737772
1,7,3,1.6442038525693194
1,7,4,1.6250526408278132
1,7,5,1.6819321851829172
1,7,6,1.6453002918549036
1,7,7,1.6667744576392103
1,7,8,1.728976213438179
1,7,9,1.7239436635743774
1,7,10,1.6860946980012197
1,7,11,1.6560723174876344
1,7,12,1.6031476062516554
1,7,13,1.6419364384437665
1,7,14,2.0011865974120138
1,7,15,1.6967315355127712
1,7,16,1.6358728126403304
1,7,17,1.6594761030307972
1,7,18,1.6877964267642132
1,7,19,1.6460213368776455
1,7,20,1.6962864221968301
1,7,21,3.1807723956741754
1,7,22,3.02719706450867
1,7,23,1.6176123317215028
1,8,0,1.662706270386755
1,8,1,1.6356495615097535
1,8,2,1.621458318632594
1,8,3,1.6900606714291662
1,8,4,1.6322274724840602
1,8,5,1.6503482444105668
1,8,6,1.6484508727695404
